Rsq	Adj_Rsq	Fstat	EtaSq	Fstat_	pval
Extract ID	0.88279160407803	0.851861610709733	28.5416034063191	0.88279160407803	28.5416034063191	3.88054788211814e-74
Site	0.189038640804501	0.148490572844726	4.66208750049529	0.189038640804501	4.66208750049529	3.1623088918445e-07
Subspecies	0.0927089261536917	0.0826279142220662	9.19639087648036	0.0927089261536914	9.19639087648033	8.18546963894996e-06
Total DNA Concentration (ng/ul)	0.0164781516361134	0.0128622624877167	4.55715066470445	0.0164781516361134	4.55715066470445	0.0336754303642851
Endogenous DNA (qPCR - pg/ul)	0.056959808240303	0.0534927487117747	16.4288521069845	0.056959808240303	16.4288521069845	6.59839410295725e-05
% Endogenous DNA	0.1303976960067	0.127200628712607	40.7866597764851	0.130397696006699	40.786659776485	7.31537840572745e-10
Average Fragment Size	0.0214394605361607	0.0178418114940143	5.95929738698728	0.0214394605361608	5.95929738698729	0.0152777961664872
Sequencing Batch	0.321782068158229	0.316776769768253	64.2882887467097	0.321782068158229	64.2882887467097	1.41428143076722e-23
Pool	0.148273815657421	0.141988013558952	23.5886865883878	0.148273815657421	23.5886865883878	3.59459396521479e-10
Capture Pool	0.418387897146557	0.379765218441446	10.8327001433794	0.418387897146557	10.8327001433794	6.82198183878402e-22
Starting DNA (ug)	0.0571692349396263	0.0537029453621984	16.4929194929088	0.0571692349396264	16.4929194929088	6.39150888096126e-05
